#Lambda		#gdark		#mchi		#mbx		#mphi		#omega 
  1.0000000000000000E-008   2.4621965000000000E-003  0.20000000000000001        2.0000000000000000E-002   10.000000000000000       0.18970470440699999     
   1.0000000000000000E-008   2.4621965000000000E-003  0.20000000000000001        2.0000000000000000E-002   8.0000000000000000       0.18966409247400001     
   1.0000000000000000E-008   2.4621965000000000E-003  0.20000000000000001        2.0000000000000000E-002   5.0000000000000000       0.18928298378299999     
   1.0000000000000000E-008   2.4621965000000000E-003   5.0000000000000003E-002   2.0000000000000000E-002   1.0000000000000000       0.18877321776000000     
   1.0000000000000000E-008   1.2310983000000000E-005  0.29999999999999999        1.0000000000000000E-004   10.000000000000000       0.17792991403700001     
   1.0000000000000000E-008   6.1554912999999998E-005  0.29999999999999999        5.0000000000000001E-004   10.000000000000000       0.17791374797300000     
   1.0000000000000000E-008   1.2310982500000000E-004  0.29999999999999999        1.0000000000000000E-003   10.000000000000000       0.17786324840100001     
   1.0000000000000000E-008   1.2310983000000000E-005  0.29999999999999999        1.0000000000000000E-004   8.0000000000000000       0.17785376789200000     
   1.0000000000000000E-008   6.1554912999999998E-005  0.29999999999999999        5.0000000000000001E-004   8.0000000000000000       0.17783761624399999     
   1.0000000000000000E-008   1.2310982500000000E-004  0.29999999999999999        1.0000000000000000E-003   8.0000000000000000       0.17778716169400000     
   1.0000000000000000E-008   2.4621965000000000E-004  0.29999999999999999        2.0000000000000000E-003   10.000000000000000       0.17766154324700001     
   1.0000000000000000E-008   2.4621965000000000E-004  0.29999999999999999        2.0000000000000000E-003   8.0000000000000000       0.17758563623099999     
   1.0000000000000000E-008   3.6932947500000000E-004  0.29999999999999999        3.0000000000000001E-003   10.000000000000000       0.17732640671100000     
   1.0000000000000000E-008   3.6932947500000000E-004  0.29999999999999999        3.0000000000000001E-003   8.0000000000000000       0.17725079777399999     
   1.0000000000000000E-008   1.2310983000000000E-005  0.29999999999999999        1.0000000000000000E-004   5.0000000000000000       0.17714090473700000     
   1.0000000000000000E-008   6.1554912999999998E-005  0.29999999999999999        5.0000000000000001E-004   5.0000000000000000       0.17712488769900001     
   1.0000000000000000E-008   1.2310982500000000E-004  0.29999999999999999        1.0000000000000000E-003   5.0000000000000000       0.17707485356000000     
   1.0000000000000000E-008   2.4621965000000000E-004  0.29999999999999999        2.0000000000000000E-003   5.0000000000000000       0.17687500603900000     
   1.0000000000000000E-008   3.6932947500000000E-004  0.29999999999999999        3.0000000000000001E-003   5.0000000000000000       0.17654295105199999     
   1.0000000000000000E-008   6.1554912500000000E-004  0.29999999999999999        5.0000000000000001E-003   10.000000000000000       0.17626261432599999     
